sentiment,content
vacío,esperando hombre llegue casa poder sacarme! llevo esperando horas
neutral,caray! perros solo centro norte california
tristeza,camino casa papa hermanas descansa paz deb
preocupación,odio tomar antibioticos creo necesito conseguir buu
neutral,alejado casa debe haber encontrado camino
felicidad,llamaste? recibi llamada proxima vez seguro tal vez vaya ángeles pronto muchas ganas ir disneylandia
preocupación,computadora portatil rompio quiere ayudar chica llevarme best buy fin semana? favor alimentare
preocupación,hola pasa seguidores atl?
preocupación,aww lamento ray wise aparecido programa todavia veo dias excepto viernes mejor aots
tristeza,sniff siento tan excluida! sonrisa
tristeza,casa enferma viernes estudiar hago momento fin semana arruinado
preocupación,paso cigarrillos chocolate repletos papel arroz filtro paquete cigarrillos? extrano
preocupación,sol ido espero manana haga buen tiempo trabajo tan deprimente!
neutral,votacion termino creo hace cuatro dias dije amigos votaran millon veces ganaras! amo
aburrimiento,verlo! amigos estan concentrados finales!
preocupación,extrano jack n box whataburger oo taco cabanaa jajaja
diversión,unico queda hacer barrer trapear cargar camioneta salir divertirse noche
felicidad,tambien haria si puedo esperar ver bb encanta! escuche transmitiran transmision vivo horas ano
neutral,
tristeza,comerme sandwich chicos reunion habia sushi presumir
neutral,mas trabajo
preocupación,platano tazas cafe desayuno tan saludable!
alivio,aww si pudiera haria gby
felicidad,si hoy satellite beach plano aunque bueno esquiar
tristeza,ciudad agricola facebook vuelve cada vez mas lenta
preocupación,vida simplemente justa gt siento
preocupación,sera peor dia todosla graduacion
neutral,vi exhibicion hace unas semanas lamento decir impresionaron demasiado embargo divertidos as buenos
neutral,nueva camara descanse paz polaroid i rosa intenso
vacío,aunque nunca aceptaria parto casa punto discutible bebes
alivio,supuesto
tristeza,malas noticias hora tomar decision increiblemente dificil
neutral,mascarilla ups
felicidad,ultimo dia ultima vez visite padres mujer soltera
neutral,comenzamos semana boda ahora terminamos semana diversioneral
neutral,empieza manana? iba reservar sam olvide
preocupación,quiero llame
tristeza,hoy duele mas dia operacion alegro haberme tomado dia extra enfermedad espera recuperacion completa despues semanas llamare hoy empresas mantenimiento cesped
preocupación,clase matematicas ugh prefiero actuar clase maldita actuar rapido
sorpresa,maricon diablos codigo!
tristeza,lave platos ahora tren hacia newcastle dejar atras nontweetinggirlfriend dos semanas siempre triste
neutral,espero muerto incendio gusto habia senales cuerpo
preocupación,impacientando tiempo reparacion nueva maquina cafe expreso rota llegar fb
neutral,estornudar frecuencia
preocupación,podrian expulsar escuela problema saben mayoria necesitamos trabajo vivir ciudad
preocupación,yo? voto días!!
sorpresa,conseguiste sonic mi?
preocupación,vaya! sabia gatos tenian cancer piel
preocupación,vaya vamos entrar guerra corea? ahi van posibilidades ser abuela algun dia
sorpresa,ojala clave beta u diversioncionara ahora quiero esperar miercoles jugar
preocupación,todavia conseguido helado vainilla
neutral,sushi ninja almuerzo dominicks quedaban gusanos goma agrios
neutral,aburrido sueno escuchando musica p haciendo proyecto s
preocupación,termine tercer ano lunes paso cuarto ano da miedo ano viene misma hora habre terminado examenes grado estandar
entusiasmo,yo? voto días!!
preocupación,pregunto si sabe superficial superficial tonta suenan tweets supongo si supiera probablemente dejaria hacerlo
neutral,mega hamburguesa almuerzo ayer
preocupación,hermana reuniremos contigo hoy birmingham favor reprograma cita!
odio,pedi prestada laptop lenovo mama trackpad duracion bateria porqueria extrano macbook pro
amor,encanta tan desvergüenza jajaja todavia tampoco terminado jajaja frehleyfriday
neutral,proximamente llegara dj hero recibira? parece tendre retirar guitar hero
vacío,aburrido
preocupación,quiero ir bocum tottal ver lostalone pasaporte maldita pobrecito
preocupación,muchas ganas tomarme batido dinero
preocupación,comi toneladas chocolate hoy semanas alimentacion saludable acabo dia alimentacion ilimitada! jaja!
tristeza,quiere salir noche puede llegar casa
preocupación,pregunto si solo nino ano va iglesia sabe cantar ciertas canciones parece mundo sabe tu? rapidamente siento mal poder cantar
tristeza,podria hablando conmigo aunque probablemente haciendo
preocupación,hecho fracaso
neutral,minibar escuchando politica? quizas nuevas empresas tecnologicas pronto?
entusiasmo,quiere conocer jeff hardy beth britt tan molesto molesto
preocupación,bueno mas examenes solo quedan dias acabo dar cuenta malo bueno
preocupación,java diversionciona hmph! puedo subir fotos facebook
neutral,url publicacion anterior trabajo temporizador deberia ser elimine espacio arruino url
diversión,voy visitar abuelos manhattan dejar hermana casa semana! ojala excusa tan cansada hoy
tristeza,tambien! excepto haley atropellada auto viva leyton!
preocupación,si perdiendo tiempo
neutral,increíble!! va rayar muchisimo jajaja peliculas programas television!
neutral,cansada lista irme cama! muchas ganas comer alitas pollo sal pimienta fideos dinero comida china
felicidad,suena tarde agradable relajante cortar cesped pasear perro
neutral,trabajando tarea!!
neutral,regreso casa recoger dvd bapang recoger dito olvide recoger dvd dito asi regresar
tristeza,va ser dia ocupado apesta queria pasar tiempo alguien hoy temprano
neutral,maldito amigo dias eu tenho curso na drc flash expert
odio,unico odio hockey playoff pens caras entradas! queria ir partido cuestan dolares entrada
sorpresa,oh gente tampa alguien zona conoce alguien trabaje sociedad jainista bahia tampa? ninguno numeros telefono diversionciona
preocupación,voté!! myspace personal? sigo hablando impostores amo ayudaste momento mas dificil vida! x
preocupación,cba apropiado salida!
neutral,leiste feliz?
neutral,alicias noche? idkk uff
tristeza,tatuaje ohio amantes saque diseno camiseta jaja perdi camiseta
neutral,educacion vial entonces baila
tristeza,tristemente sentada casa podria yendo fiesta
preocupación,intentado quiere escucharme hacer siento importa
neutral,afortunada! jaja! lluvia fría aqui massachusetts daria cualquier cosa tener lluvia intensa ahora mismo!
enojo,twitterfails jodidamente mal ahora mismo molesto
odio,desearia poder secuestrar trabajo
amor,grandes abrazos
preocupación,ahh triste
preocupación,hoy migrando pastillas naproxeno sodico tome estan ayudando ahora duele cuello necesito relajantes musculares
tristeza,puso triste
vacío,si vez noches
preocupación,mirando fracaso
sorpresa,cierto embargo olvidas mencionar mujeres mas jovenes quotcazafortunasquot quottrofeosquot grandioso patriarcado?
preocupación,java diversionciona hmph! puedo subir fotos facebook
neutral,waah imbecil cvs ayer dio menos dinero pague patatas fritas
preocupación,duele dedo infectado!
neutral,ultima vez lave cabello
tristeza,necesito abrazos joe jonas
preocupación,dejaste seguirme? suficientemente genial ti?
neutral,tardando eternidad subirlo
preocupación,ok entonces necesito encontrar manera jajaja
tristeza,aww carino siento
tristeza,dije intente dijo demasiado tarde chica tardo prepararse querian encontrarse
odio,maldita demo fight night carga sigue fallando primera pantalla creo hora eliminarla volver descargarla
preocupación,ojala suficiente dinero hacer quisiera! asco dinero educacion
odio,odio clima! vives aqui toda vida acostumbras mayo siempre lluvioso
preocupación,intenta arizona vez brooke dios mio siquiera puedes afuera menos minuto quemarte cuello
diversión,si suena suficientemente indie necesito aprender melodias luego adoptar estilo hora! vere entonces!
alivio,estudiante segundo ano tercer ano trae consigo cosas nuevas ahora estare disponible horas dia dias semana contactame echa vistazo
preocupación,perdon llamarte tan tarde
preocupación,miami solo quiero tumbarme sol lluvia impedido
tristeza,odia sonido silencio gusta excluyan
tristeza,levante temprano hice monton cosas ahora dirijo parque cherokee correr caminar
tristeza,brazos dan ganas llorar tambien inyecciones hicieron sentir mal
neutral,
tristeza,puedo venir msbjlt
preocupación,enterarme traves twitter
tristeza,extrano lugar extrano wegmans aun mas whole foods ! wegmans
preocupación,voto universo mr twitter? atascado
odio,jaja
preocupación,enojado lloviendo
neutral,hacer noche aburro bano todavia lavarme secarme alisarme cabello preparar ropa etc
neutral,buu novia puede ir ahora pase entrenamiento guardia jajaja
amor,dime votar hare!! alemania hacerlo cierto amo musica
neutral,almorce restaurante sushi japones pedi comida japones suelo hacer lugares sushi camarera camboyana tenia idea
neutral,siempre encuentras lejos computadora ?
neutral,ug hacia frio pub oscuro quiero salir afuera
neutral,mando saludos
preocupación,gracias restregarmelo cabeza idiota van ir fin semana?
tristeza,hoy humor twitter hacer
tristeza,maldita triste todavia escuchado nuevo parece ahorrado tragedia
sorpresa,sone iba graduacion comence llorar luego casa tomar siesta perdi entonces abeja pico
neutral,acepta excepto cristianismo busca google hilo discusion sexualidad religion sled second life
preocupación,siento amigo pude hacer barbacoa recien regrese hospital
amor,estomago intentando comerse si mismo hora almorzar? mira reloj maldita faltan minutos almuerzo
tristeza,quiero ver up noche nadie quiere ir conmigo que?
felicidad,acabo recibir dorsal chip cronometraje leeds k lesion cadera significa podre batir ningun record personal k vez
sorpresa,maquina expendedora comprar cornetas cornetas tal vez senal modos necesito refrigerio
tristeza,evaluando genteno gusta parte trabajo
tristeza,alguien sabe puedo ver pelicula television prison break? itunes
preocupación,ciertamente culpa arrastrarme bosque hoy temo tambien habria roto casa
neutral,regresare baltimore noche
preocupación,pitmans sur parece negocio va mal todas partes
tristeza,tambien semana libre examenes biologia estudiar asi tiempo bones limitado
preocupación,espero pastillas hagan voy volver loca
odio,musica trailer terrible opinion house cursi esperaba dnb hard house
vacío,entrada rf objetivo salida dndn dolares cerca minimo dia
tristeza,edge dejo lista colaboradores numero mes x ffs lt werd
preocupación,todavia recibido ninguna llamada telefonica faltan minutos anime quiero suene teléfono
tristeza,negacion camion mudanzas estacionado pocas cuadras distancia
tristeza,último dia maui
preocupación,trabajo tan tiempo
neutral,necesito eructar tantas nauseas
entusiasmo,quiero ir! estare alli seguro espectaculo sera genial!
neutral,bueno menos buen gusto arte nombramientos gabinetes
preocupación,amigo intente! cargaba!
neutral,sabes quieres venir hacerme compania mientras mama amigas noche velada agradable!
tristeza,amor reino unido?
preocupación,siento mal hembras mapache maridos mapaches abusivos siempre ojos morados nadie puede ayudarte
amor,vida laodicense kavya familia probablemente valio kavya corona concurso ortografia! felicitaciones! nota corrector ortografico reconoce laodicea
tristeza,temporadas todo? siento recien di cuenta actualizacion anterior hermana estara contenta
neutral,deberias decir mlia lugar fml espero encuentres pronto
tristeza,oh extrano camioneta podria haber mudado lugar
tristeza,luto tener perderse feria homesskooler hoy!
preocupación,destrozada despues semana tan larga? pena manana noche
neutral,alli hoy
tristeza,hora lavar ropa mucha!
preocupación,maldita ok martes embargo escribir publicacion breve hoy
sorpresa,recibi mensaje usaa minivan quedo destrozada ahora necesitamos valoracion alta comprar auto nuevo
felicidad,pasando genial vacaciones seguro quiero ir trabajar martes
tristeza,lamentamos podido hacer proyecto diversioncione computadora portatil windows mucha gente vino despues vio diversioncionando
tristeza,sigue blanca pesar haber tiempo bajo sol
neutral,nadie usa camiseta mia mucha suerte
tristeza,siento voy tirar galletas
diversión,suerte tienes! lloviendo nuevo mama dice charcos suficientemente grandes nade asi hoy parque perros
diversión,tipico viejo
tristeza,voy nanaimo dias extrano hijo aun ido
preocupación,llevando mami aeropuerto
preocupación,sociedad vivimos
neutral,jaja dare oportunidad spymaster solo curiosidad! extranare
preocupación,ah serio siquiera trabajo ninos alguna manera todavia enfermo! viernes marmota empeoro
tristeza,mal dia oficina pesimo humor hoy dia nacional actuar idiota nadie molesto decirmelo?
amor,vale totalmente pena! gran pelicula geniales gafas d! extrano! extrano tambien extrano nueva york
preocupación,amas sigues noche?
